run_accession,CELL LINE,TISSUE,predicted,MetaSRA
SRR1207812,0.9999931,6.9035646e-06,CELL LINE,TISSUE
SRR1207813,0.9999902,9.771883e-06,CELL LINE,TISSUE
SRR656274,3.7699095e-07,0.99999964,TISSUE,CELL LINE
SRR2121907,0.5352888,0.46471125,CELL LINE,TISSUE
SRR2723898,0.057636786,0.9423632,TISSUE,CELL LINE
SRR1124844,0.8008419,0.19915803,CELL LINE,TISSUE
SRR1124845,0.97770655,0.022293407,CELL LINE,TISSUE
SRR1303626,0.46547228,0.53452766,TISSUE,CELL LINE
SRR413944,0.32710823,0.6728918,TISSUE,CELL LINE
SRR452334,0.4879785,0.51202154,TISSUE,CELL LINE
SRR403469,0.1765655,0.8234345,TISSUE,CELL LINE
SRR1571326,0.9985959,0.0014041349,CELL LINE,TISSUE
SRR1571328,0.9997899,0.00021011096,CELL LINE,TISSUE
SRR1028024,0.9464121,0.053587835,CELL LINE,TISSUE
SRR1577902,0.99932194,0.0006780295,CELL LINE,TISSUE
SRR2039179,0.99746263,0.002537343,CELL LINE,TISSUE
SRR1207372,0.9973832,0.0026168607,CELL LINE,TISSUE
SRR2644789,0.99832565,0.0016743236,CELL LINE,TISSUE
SRR1284895,0.99997175,2.8222448e-05,CELL LINE,TISSUE
