,tissue,tissue_confi
SRR897202,BRAIN,1.0
SRR1201803,BRAIN,0.31769526
SRR1201796,BONE MARROW,0.27337795
SRR898015,BRAIN,1.0
SRR1201768,LUNG,0.26391593
ERR833221,OTHER,1.0
ERR532555,PROSTATE,1.0
SRR897615,BRAIN,1.0
SRR542366,BREAST,1.0
SRR542402,OTHER,0.9999916
SRR1216055,BRAIN,1.0
SRR1146259,BRAIN,0.8935421
SRR1213739,OTHER,1.0
SRR897230,BRAIN,1.0
SRR650138,OTHER,0.9812962
SRR1192965,BRAIN,0.97138464
SRR896877,BRAIN,1.0
SRR1521208,LUNG,0.6912158
SRR897584,BRAIN,1.0
SRR896704,LIVER,0.7599113
SRR897206,BRAIN,1.0
SRR542400,BREAST,1.0
SRR633584,SKIN,1.0
ERR532577,PROSTATE,1.0
SRR898189,BRAIN,1.0
SRR896723,LIVER,0.7110359
SRR896927,BRAIN,1.0
SRR650203,KIDNEY,0.41066012
SRR1190370,BRAIN,0.9645621
SRR898298,LIVER,0.6333223
SRR2166637,BONE MARROW,0.9999889
ERR649051,OTHER,0.7014669
SRR1693600,LUNG,0.429354
SRR897645,BRAIN,1.0
SRR1216110,BRAIN,1.0
SRR898245,LIVER,0.58356464
SRR959629,BRAIN,0.9974865
SRR959726,BONE MARROW,0.4736363
SRR387443,BONE MARROW,0.9996953
SRR897102,BRAIN,0.6535797
SRR898126,LIVER,0.64574426
SRR1193104,BRAIN,0.9354824
SRR926666,OTHER,0.97606134
SRR897653,BRAIN,1.0
SRR896929,BRAIN,1.0
SRR609424,BRAIN,1.0
SRR633563,BREAST,0.95472604
SRR897704,BRAIN,1.0
SRR315311,BONE MARROW,0.9959987
SRR628319,BRAIN,1.0
DRR003596,BRAIN,0.9955729
SRR896885,BRAIN,1.0
SRR896935,BRAIN,1.0
SRR959677,BONE MARROW,0.476507
SRR1201829,KIDNEY,0.9744226
SRR897597,BRAIN,1.0
SRR897098,BRAIN,0.65447676
SRR546587,KIDNEY,1.0
SRR1201669,LUNG,0.29400125
ERR649044,ESOPHAGUS,0.9753598
ERR532587,PROSTATE,1.0
SRR897650,BRAIN,1.0
SRR897839,LIVER,0.5052965
SRR1216119,BRAIN,1.0
SRR897690,BRAIN,1.0
SRR898253,LIVER,0.58171636
SRR898046,BRAIN,1.0
SRR926686,LIVER,1.0
ERR833248,OTHER,1.0
SRR542375,BREAST,0.99467814
SRR959690,BONE MARROW,0.5574004
SRR897431,LIVER,0.7048222
SRR898257,LIVER,0.5302639
SRR1216100,BRAIN,1.0
SRR1216122,BRAIN,0.9999998
SRR1216096,BRAIN,1.0
SRR1201832,KIDNEY,0.981932
SRR898397,BRAIN,1.0
SRR896956,BRAIN,1.0
SRR896975,BRAIN,1.0
SRR879366,BRAIN,0.9915365
ERR833220,OTHER,1.0
ERR832559,OTHER,1.0
SRR1216058,BRAIN,1.0
SRR317087,OTHER,1.0
SRR897268,BRAIN,1.0
SRR1216066,BRAIN,1.0
SRR628320,BRAIN,1.0
SRR897205,BRAIN,1.0
SRR897244,BRAIN,1.0
ERR832541,OTHER,1.0
SRR387428,BONE MARROW,0.9984498
SRR1201672,LUNG,0.31253508
SRR922551,OTHER,1.0
ERR649037,ESOPHAGUS,0.99975204
SRR959620,BRAIN,0.99987566
SRR633583,BREAST,0.67032826
SRR897675,BRAIN,1.0
SRR898252,LIVER,0.59860677
SRR1033775,OVARY,0.59038657
SRR897919,BRAIN,1.0
SRR1639251,BRAIN,0.91439927
SRR898124,LIVER,0.66359675
ERR731519,LUNG,0.9999801
SRR959695,BONE MARROW,0.41573152
ERR833224,OTHER,1.0
SRR897314,BRAIN,1.0
