,tissue,tissue_confi
SRR896947,BRAIN,1.0
SRR897665,BRAIN,1.0
SRR897620,BRAIN,1.0
SRR898402,BRAIN,1.0
SRR897969,BRAIN,0.9999999
SRR959611,BRAIN,0.971177
ERR649029,ESOPHAGUS,1.0
SRR633590,BREAST,0.9999286
SRR898220,BRAIN,1.0
SRR926644,BONE MARROW,0.99981433
SRR959614,BRAIN,0.9824435
ERR532605,PROSTATE,1.0
ERR731506,LUNG,0.9999197
SRR633560,BREAST,0.99990636
SRR1216079,BRAIN,0.9999995
SRR393826,BONE MARROW,1.0
SRR897242,BRAIN,0.9999998
SRR926693,LIVER,1.0
SRR959608,BRAIN,0.95713997
SRR898011,BRAIN,1.0
SRR898464,BRAIN,1.0
SRR898466,BRAIN,1.0
SRR897239,BRAIN,0.9999999
SRR542369,BREAST,1.0
SRR897609,BRAIN,1.0
SRR896959,BRAIN,1.0
SRR897705,BRAIN,1.0
SRR898205,BRAIN,1.0
SRR223525,ESOPHAGUS,0.99218243
ERR409744,BRAIN,1.0
SRR926647,BONE MARROW,0.9998826
SRR898450,BRAIN,1.0
SRR1216088,BRAIN,1.0
SRR897292,BRAIN,1.0
SRR1721295,STOMACH,0.99771327
ERR649056,KIDNEY,0.99999523
SRR897330,BRAIN,1.0
ERR661166,BONE MARROW,0.9999844
SRR898232,BRAIN,1.0
SRR898428,BRAIN,0.9999999
SRR898469,BRAIN,1.0
SRR896844,BRAIN,1.0
SRR897956,BRAIN,1.0
ERR833227,BONE MARROW,0.9982487
SRR1213712,STOMACH,0.9299793
SRR896920,BRAIN,1.0
SRR897992,BRAIN,1.0
SRR898195,BRAIN,1.0
ERR833256,BONE MARROW,0.9988043
SRR633592,BREAST,0.9999731
ERR649038,ESOPHAGUS,0.9892704
SRR926667,BONE MARROW,0.9998449
SRR1201980,OVARY,0.9179279
SRR826659,PANCREAS,0.99999964
ERR210952,BRAIN,0.9129903
SRR832889,STOMACH,0.97539675
SRR897336,BRAIN,1.0
SRR1216063,BRAIN,0.9999998
ERR649027,ESOPHAGUS,0.99999636
SRR897322,BRAIN,1.0
ERR519513,ESOPHAGUS,0.99370825
SRR897991,BRAIN,1.0
ERR519484,ESOPHAGUS,0.98060817
SRR542375,BREAST,0.9996775
SRR897588,BRAIN,1.0
SRR898190,BRAIN,1.0
SRR1521208,OVARY,0.9652052
SRR014496,BRAIN,1.0
SRR633578,BREAST,0.9812846
SRR1216112,BRAIN,0.99998266
SRR542395,BREAST,0.9999197
ERR519471,ESOPHAGUS,0.9999992
SRR897661,BRAIN,1.0
SRR926685,LIVER,1.0
SRR948110,BONE MARROW,1.0
SRR897726,BRAIN,1.0
DRR029109,ESOPHAGUS,0.9991888
SRR546227,STOMACH,0.99998415
SRR926697,LIVER,1.0
SRR1201711,OVARY,0.92230034
SRR091692,BONE MARROW,0.9998045
SRR834564,LIVER,1.0
SRR898216,BRAIN,1.0
SRR897240,BRAIN,0.9999998
SRR542350,BREAST,0.99999774
ERR832540,BONE MARROW,0.99848115
ERR649043,ESOPHAGUS,0.9998175
SRR387438,BONE MARROW,0.9996341
SRR898374,BRAIN,1.0
ERR649028,ESOPHAGUS,1.0
SRR897294,BRAIN,1.0
SRR897628,BRAIN,1.0
SRR546237,STOMACH,0.9999135
SRR897632,BRAIN,1.0
SRR897237,BRAIN,0.9999997
SRR897717,BRAIN,1.0
SRR653897,BONE MARROW,0.9998844
ERR833231,BONE MARROW,0.9999806
SRR896833,BRAIN,1.0
SRR896929,BRAIN,1.0
SRR897932,BRAIN,1.0
SRR897572,BRAIN,1.0
SRR897276,BRAIN,1.0
SRR898372,BRAIN,1.0
SRR834561,LIVER,1.0
SRR897319,BRAIN,1.0
SRR897334,BRAIN,1.0
SRR1213572,STOMACH,0.9949956
ERR532567,PROSTATE,0.9999999
SRR898483,BRAIN,1.0
SRR948099,BONE MARROW,1.0
SRR897345,BRAIN,1.0
SRR896834,BRAIN,1.0
SRR896965,BRAIN,1.0
SRR898412,BRAIN,1.0
SRR897998,BRAIN,1.0
SRR896926,BRAIN,1.0
ERR532590,PROSTATE,1.0
SRR898198,BRAIN,1.0
SRR897308,BRAIN,1.0
SRR1721308,STOMACH,0.9963425
SRR1201829,KIDNEY,0.99132365
SRR896859,BRAIN,1.0
SRR896878,BRAIN,1.0
SRR898425,BRAIN,1.0
SRR897720,BRAIN,1.0
SRR898034,BRAIN,1.0
SRR1292507,LIVER,0.9999999
SRR896873,BRAIN,1.0
SRR897958,BRAIN,0.9999999
SRR896847,BRAIN,1.0
SRR897684,BRAIN,1.0
SRR801433,STOMACH,1.0
SRR897272,BRAIN,1.0
SRR897978,BRAIN,1.0
ERR649062,ESOPHAGUS,0.99928796
SRR926652,BONE MARROW,0.99991095
SRR542404,BREAST,1.0
SRR633589,BREAST,0.999998
SRR897677,BRAIN,1.0
ERR532552,PROSTATE,1.0
SRR897318,BRAIN,1.0
SRR898003,BRAIN,1.0
SRR948098,BONE MARROW,1.0
SRR897635,BRAIN,1.0
SRR1216059,BRAIN,0.9999997
ERR833235,BONE MARROW,0.99998367
SRR1721298,KIDNEY,1.0
SRR897979,BRAIN,1.0
SRR542391,BREAST,1.0
SRR801428,STOMACH,1.0
SRR897346,BRAIN,1.0
SRR542394,BREAST,0.9999998
SRR897589,BRAIN,1.0
SRR633556,BREAST,0.9999615
SRR633557,BREAST,0.99981946
SRR1213728,STOMACH,0.9866601
SRR1201770,OVARY,0.9351101
ERR532566,PROSTATE,1.0
SRR922449,BONE MARROW,0.9999918
SRR897649,BRAIN,1.0
SRR897211,BRAIN,0.9999998
SRR898392,BRAIN,1.0
ERR832554,BONE MARROW,0.98511857
SRR1201833,KIDNEY,0.9966232
SRR926655,BONE MARROW,0.9998358
SRR542390,BREAST,1.0
SRR897634,BRAIN,1.0
SRR897305,BRAIN,1.0
SRR896978,BRAIN,1.0
SRR896908,BRAIN,1.0
SRR896840,BRAIN,1.0
SRR897226,BRAIN,0.9999998
SRR896845,BRAIN,1.0
