,ss,ss_confi
ERR862951,OTHER,0.99955
ERR862969,OTHER,0.99951965
ERR878019,OTHER,0.9992498
ERR862952,OTHER,0.99945366
ERR862970,OTHER,0.99933213
ERR878020,OTHER,0.9994553
ERR862953,OTHER,0.99947625
ERR862971,OTHER,0.9995332
ERR878021,OTHER,0.9993571
ERR862954,OTHER,0.9993378
ERR862972,OTHER,0.999502
ERR878022,OTHER,0.9993866
ERR862955,OTHER,0.9992965
ERR862973,OTHER,0.999218
ERR878023,OTHER,0.99913836
ERR862956,OTHER,0.99931157
ERR862974,OTHER,0.99912566
ERR878024,OTHER,0.9990641
ERR862975,OTHER,0.99963653
ERR866150,OTHER,0.9996414
ERR866168,OTHER,0.9994466
ERR862976,OTHER,0.99961555
ERR866151,OTHER,0.9994544
ERR866169,OTHER,0.99955606
ERR862977,OTHER,0.9994849
ERR866152,OTHER,0.9993655
ERR866170,OTHER,0.99938184
ERR862978,OTHER,0.9993383
ERR866153,OTHER,0.99937475
ERR866171,OTHER,0.99932355
ERR862979,OTHER,0.9992817
ERR866154,OTHER,0.9994129
ERR866172,OTHER,0.99936926
ERR862980,OTHER,0.999159
ERR866155,OTHER,0.9993189
ERR866173,OTHER,0.9993888
ERR862981,OTHER,0.9993084
ERR866156,OTHER,0.99929506
ERR866174,OTHER,0.99929494
ERR866157,OTHER,0.9995527
ERR866175,OTHER,0.99945086
ERR862983,OTHER,0.9996519
ERR866158,OTHER,0.99953306
ERR866176,OTHER,0.9995359
ERR862984,OTHER,0.99940825
ERR866159,OTHER,0.99954593
ERR866177,OTHER,0.99951524
ERR862985,OTHER,0.999372
ERR866160,OTHER,0.9995035
ERR866178,OTHER,0.99923575
ERR862986,OTHER,0.9995467
ERR866161,OTHER,0.99944764
ERR866179,OTHER,0.999253
ERR862987,OTHER,0.99907243
ERR866162,OTHER,0.99912274
ERR866180,OTHER,0.9991411
ERR862988,OTHER,0.9992193
ERR866163,OTHER,0.99915636
ERR866181,OTHER,0.9993455
ERR862989,OTHER,0.9994337
ERR866164,OTHER,0.99949694
ERR866182,OTHER,0.99936897
ERR862990,OTHER,0.99941844
ERR866165,OTHER,0.9994049
ERR866183,OTHER,0.9994214
ERR862991,OTHER,0.99922335
ERR866166,OTHER,0.9991932
ERR866184,OTHER,0.9990652
ERR862992,OTHER,0.9992162
ERR866167,OTHER,0.9992636
ERR866185,OTHER,0.99921113
SRR537127,OTHER,0.99999654
ERR532547,TISSUE,0.9992863
ERR532548,TISSUE,0.9992703
ERR532549,TISSUE,0.9992651
ERR532576,TISSUE,0.99967
ERR532577,TISSUE,0.9996525
ERR532578,TISSUE,0.9996853
ERR532593,TISSUE,0.99984676
ERR532594,TISSUE,0.9998544
ERR532595,TISSUE,0.9998242
ERR532596,TISSUE,0.9991412
ERR532597,TISSUE,0.9989893
ERR532598,TISSUE,0.9990698
ERR532599,TISSUE,0.99825823
ERR532600,TISSUE,0.99824584
ERR532601,TISSUE,0.9983904
ERR532602,TISSUE,0.99980104
ERR532603,TISSUE,0.99981153
ERR532604,TISSUE,0.9998003
ERR532605,TISSUE,0.9999205
ERR532606,TISSUE,0.9999145
ERR532607,TISSUE,0.99991685
ERR532608,TISSUE,0.99840724
ERR532609,TISSUE,0.99828815
ERR532610,TISSUE,0.9981826
ERR532611,TISSUE,0.99937695
ERR532612,TISSUE,0.9993843
ERR532613,TISSUE,0.9994011
ERR532550,TISSUE,0.9999455
ERR532551,TISSUE,0.9997274
ERR532552,TISSUE,0.99973
ERR532553,TISSUE,0.9996915
ERR532554,TISSUE,0.9998841
ERR532555,TISSUE,0.9998894
ERR532556,TISSUE,0.999884
ERR532557,TISSUE,0.9997473
ERR532558,TISSUE,0.99975646
ERR532559,TISSUE,0.9997468
ERR532560,TISSUE,0.99999505
ERR532561,TISSUE,0.99999475
ERR532562,TISSUE,0.9999949
ERR532563,TISSUE,0.99989593
