,sex,sex_confi
SRR948494,male,0.99984807
SRR396899,female,0.99835664
SRR898002,male,0.94917756
SRR1193100,male,0.999994
SRR897233,male,0.9779622
SRR1313091,female,0.9947567
SRR1721288,female,0.99999493
SRR1652942,male,0.5292913
ERR752842,female,0.9983195
SRR1665021,male,0.92514753
SRR786626,female,0.99910563
DRR006386,female,0.9208188
SRR949083,female,0.99966085
SRR898394,male,0.9787736
SRR191653,male,0.99979293
SRR959717,female,0.90681106
SRR1313165,female,0.99944746
SRR1521410,male,0.99617326
SRR825137,male,0.99683046
SRR1027757,female,0.7385448
SRR1313095,female,0.9983634
SRR1190504,male,0.9999939
SRR797124,female,0.9991091
SRR2537079,male,0.95007974
DRR006492,male,0.9975896
ERR502856,male,0.9999901
SRR1768910,female,0.9999401
ERR315444,female,0.68389577
SRR2962011,female,0.99744236
SRR2052815,male,0.99445236
SRR1373461,female,0.9989176
SRR934362,male,0.9965922
DRR006417,male,0.94158363
SRR1177739,male,0.92413723
SRR557140,male,0.99997854
SRR2954799,female,0.99993247
ERR329510,female,0.9817418
SRR959696,female,0.6578634
SRR896976,male,0.97294843
SRR1698140,male,0.9984334
ERR532589,male,0.9997727
SRR898414,male,0.9871456
ERR752525,male,0.9588785
SRR896724,male,0.999235
SRR1313228,female,0.99763525
SRR1652895,male,0.9382011
SRR2052694,male,0.99713135
SRR2052775,male,0.9724663
SRR1067993,male,0.9731542
SRR797162,female,0.9983454
SRR1576183,male,0.7200535
SRR897279,male,0.952052
SRR897838,male,0.99890137
SRR1192073,male,0.9999784
ERR329513,male,0.9437256
SRR868813,female,0.996369
SRR1177746,male,0.94326055
SRR1265536,male,0.98888177
SRR898234,male,0.968596
SRR897303,male,0.94587356
SRR1385250,male,0.9998493
SRR585570,female,0.9998313
SRR826661,female,0.99948806
SRR2443217,female,0.99769706
SRR897984,male,0.9727923
SRR1146186,female,0.99886453
SRR191640,female,0.99996126
SRR1215998,male,0.9990977
SRR1216053,male,0.98487455
ERR208921,female,0.9920043
SRR1617412,female,0.933148
SRR897819,male,0.9981583
SRR387433,female,0.9999477
ERR752604,male,0.9199789
SRR897714,male,0.96061945
SRR897798,male,0.99885815
SRR825135,male,0.97737473
SRR1374339,male,0.99463654
DRR006422,male,0.9630696
SRR948094,male,0.99058294
SRR897620,male,0.98681366
SRR1047866,male,0.90880185
SRR959611,female,0.78353345
SRR1036085,female,0.98983794
SRR959614,female,0.7912312
ERR532605,male,0.99714404
ERR752612,male,0.963819
SRR1216079,male,0.99058026
SRR2443174,female,0.99957037
SRR898011,male,0.9649987
SRR2314017,female,0.9999936
SRR897916,male,0.9485656
ERR752668,male,0.97213745
ERR329516,female,0.9531681
SRR2026321,male,0.78764486
SRR191662,male,0.99565136
SRR975590,male,0.99941933
ERR752832,female,0.99965173
SRR2087325,male,0.9984759
SRR1222677,male,0.97362673
SRR191713,female,0.9344371
SRR2962000,female,0.8604332
SRR896959,male,0.9637516
SRR896806,male,0.95860875
SRR897705,male,0.9609267
SRR223525,female,0.9979088
ERR752745,female,0.9966489
SRR1313168,female,0.9998209
ERR519509,female,0.997561
DRR006375,female,0.9996182
ERR752776,female,0.9991396
SRR1721295,male,0.95629996
SRR1768871,female,0.9999504
SRR897330,male,0.9338716
SRR787274,male,0.92518127
SRR1265499,male,0.98627394
SRR962598,male,0.996095
SRR897526,male,0.96317595
SRR1663274,male,0.9978922
SRR2049786,male,0.9855547
SRR898428,male,0.9812325
SRR2049685,male,0.9182563
SRR835010,male,0.85182965
SRR898357,male,0.9385389
SRR896844,male,0.98534805
SRR1698158,male,0.99901426
SRR479074,female,0.9928238
SRR1047867,male,0.89717066
ERR752844,male,0.97165745
SRR2049778,male,0.96443784
SRR897992,male,0.9637917
SRR898195,male,0.9822502
SRR1663219,male,0.9939103
ERR833256,male,0.96769273
SRR1265665,male,0.9786078
SRR2052797,male,0.99203646
SRR1060797,female,0.57736886
SRR018265,male,0.99711716
ERR315387,female,0.9999959
SRR832889,female,0.9996607
SRR1521436,male,0.9632411
SRR898328,male,0.95043975
SRR2052747,male,0.9774049
SRR542377,female,0.99999905
SRR2052723,male,0.9735406
SRR1265510,male,0.99266446
SRR1608631,female,0.9992611
ERR519513,female,0.99742395
SRR1608922,female,0.99275863
SRR1002091,female,0.9999876
SRR1656642,male,0.9935724
SRR611849,female,0.9504653
ERR519484,female,0.99977744
SRR898190,male,0.975664
SRR1521208,female,0.67033875
SRR2049597,female,0.99993706
SRR915773,male,0.9242445
SRR1521379,male,0.98731554
SRR1747166,male,0.9626652
SRR3067483,female,0.8829485
SRR2087365,male,0.9162666
SRR633578,male,0.9343435
ERR752584,male,0.948369
SRR797108,female,0.9877596
ERR315435,female,0.9988939
SRR542395,female,0.9999984
SRR896669,male,0.99677867
SRR2314045,female,0.99999857
SRR1026929,female,0.9769624
SRR868842,female,0.99899656
SRR1698138,female,0.9964902
SRR897802,male,0.99875385
ERR752642,male,0.9533224
DRR029109,female,0.9137109
SRR1422075,female,0.83638734
SRR1203026,female,0.5595082
SRR1201711,female,0.96726453
SRR2313082,female,0.946344
ERR348417,female,0.9965274
SRR898216,male,0.96014786
SRR070185,male,0.9998909
SRR1035941,male,0.9787698
SRR2087345,male,0.98696357
SRR897505,male,0.9618738
SRR898335,male,0.942941
SRR897056,male,0.9981777
ERR315404,female,0.9869941
SRR2166626,male,0.9999925
SRR898374,male,0.98633444
SRR1652977,female,0.99493235
SRR546237,male,0.9728519
SRR897074,male,0.99497014
SRR1026875,male,0.9969927
SRR1656634,female,0.9980383
SRR1422071,female,0.87286615
SRR653897,female,0.94232416
SRR1036502,male,0.9987456
SRR1561676,male,0.9928592
SRR896833,male,0.987624
ERR315431,female,0.8274039
SRR2087337,female,0.99993455
SRR898287,male,0.99833584
SRR1768907,female,0.9999933
SRR897319,male,0.95652324
SRR1768939,male,0.9989034
SRR537121,female,0.99932367
SRR2545328,male,0.9198388
ERR752721,male,0.9344764
SRR2049754,male,0.9718811
SRR2049775,male,0.94098413
SRR1146128,female,0.9998687
SRR2052711,male,0.9833749
ERR752646,female,0.99751914
SRR1617438,male,0.9988225
SRR1060772,male,0.8294922
SRR846947,female,0.9997762
SRR317106,female,0.99718076
SRR2052729,female,0.9999875
SRR948501,female,0.9994372
ERR532590,male,0.9997975
SRR975556,male,0.99793255
SRR1551066,male,0.99479914
SRR898198,male,0.98641837
SRR1313107,female,0.9987675
SRR1785316,female,0.98792905
ERR863724,female,0.99997616
ERR315328,female,0.9992032
SRR897055,male,0.99886674
SRR1026948,male,0.95853394
SRR896779,male,0.9457738
DRR006480,male,0.9948347
SRR896847,male,0.9821442
SRR1957124,male,0.99648553
SRR1206043,female,0.9821749
SRR988508,female,0.9951272
SRR897684,male,0.9593911
SRR915767,male,0.92444676
SRR1193013,male,0.9999918
SRR1633196,male,0.8074492
SRR926652,male,0.9993704
SRR363686,female,0.6488193
SRR1146194,male,0.9928409
SRR1192017,male,0.9999854
SRR897088,male,0.9979812
SRR1216017,male,0.99670047
SRR2040361,female,0.9997679
ERR532552,male,0.99947226
ERR841671,male,0.9995068
SRR897635,male,0.9924299
SRR846937,male,0.9706052
ERR035540,female,0.9945173
SRR018262,female,0.83806735
SRR1215996,male,0.99871033
SRR1213568,male,0.99828464
SRR1721298,male,0.9167039
SRR1193008,male,0.9999954
ERR315448,female,0.9917248
SRR542391,female,0.99994725
SRR801702,female,0.99867284
SRR801428,female,0.9984175
SRR2087309,male,0.99926394
DRR006420,female,0.9950115
ERR752825,male,0.9429824
SRR897589,male,0.9792549
SRR633557,female,0.99981385
SRR1146096,male,0.99381304
SRR950081,male,0.93507516
SRR1265595,male,0.99143666
ERR519503,male,0.98186505
SRR396944,male,0.99084437
SRR975566,male,0.9882801
SRR926655,female,0.9877161
SRR915778,male,0.98200405
DRR006462,female,0.99905217
SRR897520,male,0.94712514
ERR863708,female,0.9999918
SRR1268068,male,0.9759923
SRR898305,male,0.9455374
DRR006458,female,0.99799764
SRR648411,female,0.9934031
SRR2313069,male,0.9976875
SRR896978,male,0.96891797
SRR1927061,female,0.999961
SRR2049784,female,0.99975586
SRR831039,female,0.985933
SRR897226,male,0.9841383
SRR896785,male,0.93514884
SRR317101,male,0.9953486
SRR896704,male,0.9971622
SRR1193006,male,0.9999896
SRR1957195,male,0.94334877
SRR837669,female,0.6062741
SRR546230,male,0.99691725
ERR519495,male,0.979719
SRR2443156,female,0.99551713
SRR897067,male,0.9984938
