,sex,sex_confi
ERR752815,male,0.94811964
SRR897928,male,0.9962598
SRR791074,female,0.9998845
SRR896868,male,0.99720716
SRR2927598,male,0.8287462
SRR1206036,female,0.8916604
SRR897688,male,0.9904165
SRR1521362,female,0.9999958
SRR1177709,female,0.99941283
SRR070183,male,0.9691547
SRR1146089,female,0.99968565
SRR1026898,female,0.99555504
ERR752551,male,0.94004375
SRR959631,male,0.61314034
SRR896730,male,0.99872553
SRR896837,male,0.9959692
SRR1785310,female,0.99678594
SRR1201672,female,0.9708551
SRR896925,male,0.9886692
SRR897450,male,0.99894637
SRR1060797,female,0.52304065
SRR948110,male,0.9974206
ERR315403,female,0.9999585
SRR897670,male,0.99305856
SRR2049695,female,0.9998003
SRR358999,male,0.9998584
SRR496581,male,0.9999894
SRR897421,male,0.9990918
SRR1698169,male,0.9953232
SRR897232,male,0.99445075
SRR1521439,male,0.9915282
ERR649042,female,0.9996163
DRR006407,female,0.9943439
SRR2443237,female,0.99888295
SRR2087301,female,0.9999409
SRR1754147,female,0.9326695
SRR1146093,male,0.99804175
SRR191655,male,0.99744636
ERR792543,male,0.9986671
SRR020726,male,0.9999075
SRR898113,male,0.9990368
SRR2052804,male,0.9597203
SRR791061,female,0.9999873
DRR006491,female,0.99348336
SRR2047482,male,0.9699237
SRR898357,male,0.9876257
SRR1768850,male,0.9970662
SRR797101,male,0.8394836
SRR959677,male,0.51495874
SRR2040369,female,0.9918132
ERR863676,female,0.9999652
SRR2049719,female,0.9999486
SRR897821,male,0.99816483
SRR959667,male,0.6417513
SRR317108,male,0.999496
SRR897959,male,0.9965893
SRR1265576,male,0.99474555
SRR868832,female,0.9999383
SRR896874,male,0.99673426
SRR2313086,male,0.9995481
SRR898246,male,0.9989892
SRR1193197,male,0.99999607
SRR1663222,female,0.9987359
SRR1146140,male,0.9927853
SRR1313195,female,0.99969846
SRR2926050,male,0.9816451
SRR2047493,male,0.982549
SRR1002092,female,0.9997012
SRR448109,male,0.9901867
SRR897999,male,0.99111384
SRR1265526,male,0.9888881
SRR2040352,female,0.9967496
SRR2052693,male,0.99091864
SRR1957125,male,0.95366526
SRR1608530,female,0.993678
SRR797120,female,0.9999846
SRR542376,female,0.9998697
SRR831037,female,0.98722
SRR1663126,male,0.9952642
SRR898354,male,0.9921522
SRR897954,male,0.99652207
SRR868806,female,0.99982226
SRR1744447,female,0.9007042
ERR752759,male,0.97064126
SRR897263,male,0.99603045
SRR1026944,female,0.9922115
SRR897266,male,0.9952904
SRR898490,male,0.992674
SRR898118,male,0.9995378
SRR897289,male,0.9884365
SRR191668,male,0.9907731
SRR897937,male,0.9958185
SRR797095,male,0.97100276
ERR752565,female,0.9952844
SRR2087365,male,0.9357969
SRR1656642,male,0.9940795
SRR896890,male,0.9970561
SRR801693,female,0.99814403
SRR2049702,female,0.99974334
SRR898423,male,0.9957324
SRR896847,male,0.9947926
SRR897136,male,0.98589677
SRR2138383,female,0.99700963
SRR1617431,male,0.93411666
DRR006420,female,0.9992361
SRR2545349,male,0.8882121
SRR1521210,female,0.7375946
SRR1203817,female,0.6591197
SRR797092,male,0.9981974
SRR1768936,male,0.9999968
SRR2926053,male,0.9753734
SRR786617,male,0.99444264
SRR2049732,female,0.9996828
SRR896882,male,0.99781847
SRR898470,male,0.9904558
SRR1203011,female,0.9608596
SRR797110,female,0.99935025
SRR1373461,female,0.9995863
SRR797083,male,0.9609097
SRR1373456,male,0.9693271
SRR1036505,female,0.9997269
SRR2314000,male,0.99660873
SRR1193011,male,0.9999874
SRR1036005,male,0.9987407
SRR1373446,male,0.9921034
SRR1652974,male,0.9693847
SRR787271,male,0.9760016
SRR1313098,female,0.99985236
SRR897886,male,0.9915472
ERR752809,male,0.95988655
SRR2926045,male,0.9817486
SRR831011,male,0.76281047
SRR1216100,male,0.99504167
SRR316214,male,0.9992321
SRR1536710,male,0.99972725
SRR897855,male,0.9921015
SRR903154,male,0.9509648
SRR949104,male,0.99668914
SRR897287,male,0.9906791
SRR1046837,male,0.9999734
SRR542363,female,0.950745
SRR897200,male,0.9948355
SRR897887,male,0.9857062
SRR1422077,male,0.7662927
SRR926695,male,0.99976873
SRR448112,female,0.996168
SRR1026897,female,0.9886791
SRR897555,male,0.99382657
SRR1313125,female,0.99994695
SRR1027181,female,0.9999608
ERR752541,male,0.9592272
SRR2443200,female,0.998124
ERR952490,female,0.9986955
SRR898288,male,0.9983301
SRR897813,male,0.9994408
SRR2049684,male,0.97595036
SRR537104,female,0.99949473
ERR832553,male,0.9255697
SRR868839,female,0.9992711
SRR934361,female,0.886094
SRR898442,male,0.9942055
SRR191692,female,0.9986943
SRR2087321,female,0.98696935
SRR1657540,female,0.9990939
SRR2313080,male,0.9999815
SRR1663265,female,0.9906508
SRR1608878,male,0.9991744
SRR1265533,male,0.97274625
SRR830977,male,0.9413989
SRR846942,male,0.9814662
SRR1163280,male,0.8228793
ERR315465,male,0.9826543
SRR801426,female,0.9823907
SRR897155,male,0.98900765
SRR1557953,female,0.97341555
SRR897484,male,0.99965036
SRR2052798,male,0.9851777
SRR396935,female,0.92814445
ERR863749,female,0.9998005
SRR897048,male,0.99944943
SRR397212,male,0.999728
SRR835011,male,0.8117172
ERR752700,female,0.9970274
SRR2313067,male,0.99661666
SRR896722,male,0.99823415
SRR1608673,male,0.999503
SRR896945,male,0.99179983
ERR315470,male,0.9266535
SRR396901,male,0.99438953
SRR898256,male,0.9991005
SRR1576173,male,0.99912727
SRR898331,male,0.98894155
SRR397183,female,0.99703896
SRR2314010,male,0.9761812
SRR897273,male,0.99158657
SRR896838,male,0.99640816
SRR057635,male,0.99998015
ERR863711,female,0.9996687
SRR1768846,male,0.9973108
SRR1803374,male,0.99765265
SRR898189,male,0.9963048
SRR897972,male,0.99592906
SRR959703,female,0.598796
SRR1313218,female,0.9965359
SRR1768823,male,0.98789054
SRR191698,male,0.86551934
SRR2049707,female,0.76276547
SRR903242,male,0.9973337
SRR1216015,male,0.9986609
SRR1658437,male,0.97455657
SRR975565,male,0.95291394
ERR752652,male,0.98620546
SRR1265530,male,0.96400815
SRR898198,male,0.9961171
SRR959737,male,0.57533044
SRR397217,male,0.99934864
SRR868848,female,0.9999855
SRR2226707,female,0.9998212
SRR2166629,male,0.9999652
SRR1698141,female,0.9987191
SRR1036501,female,0.9989301
SRR1698147,male,0.99695265
SRR1146216,male,0.99569607
SRR1576176,male,0.9984759
SRR1768867,female,0.9875304
ERR519496,male,0.9584397
ERR752873,male,0.95266676
SRR2052801,male,0.9872444
SRR1608526,female,0.99996203
SRR897662,male,0.99463433
SRR1927031,female,0.99959946
SRR896947,male,0.99261504
ERR863736,female,0.999935
ERR519514,female,0.9998835
SRR2954782,male,0.9926468
SRR396904,female,0.9651445
DRR006453,male,0.9956071
SRR1292155,male,0.87799644
SRR897120,male,0.99937326
SRR2049612,male,0.9743584
SRR1633197,female,0.8729455
SRR2052690,male,0.9922204
SRR898121,male,0.9990033
SRR1201766,female,0.9555235
SRR542365,female,0.9998101
DRR006422,male,0.9801954
DRR006429,male,0.96774757
SRR650168,male,0.9967836
DRR006390,male,0.81162703
SRR1823864,female,0.994465
ERR315494,female,0.98716843
SRR868853,female,0.9999341
SRR1026938,female,0.98867863
SRR2962015,female,0.98488694
ERR649034,male,0.92763674
SRR896809,male,0.9938153
SRR898185,male,0.9950665
SRR801699,female,0.9955762
SRR898009,male,0.99303234
SRR2049723,female,0.99958485
SRR1617412,female,0.8934952
SRR791062,female,0.99997103
SRR1265532,male,0.9662428
SRR537119,female,0.9922339
SRR1191342,male,0.9999751
SRR633574,male,0.91238385
SRR897430,male,0.9987761
SRR1652927,female,0.99842197
SRR1177672,female,0.99984705
ERR315394,male,0.9999218
SRR2049588,male,0.99650574
SRR797084,female,0.71786684
SRR897500,male,0.9898213
SRR2926043,male,0.99144393
SRR897966,male,0.9935132
SRR897148,male,0.9898895
SRR1027985,female,0.8917931
ERR752538,female,0.9977309
SRR1839793,female,0.9667368
ERR752676,male,0.952333
SRR831005,male,0.590869
SRR2087290,male,0.9999161
SRR896685,male,0.9991024
SRR1747146,male,0.9934047
SRR2443148,female,0.99273604
SRR897133,male,0.98985845
SRR898000,male,0.9891635
SRR1652907,male,0.8487695
SRR2052662,male,0.9854897
SRR1216064,male,0.99466324
ERR519488,male,0.9819996
SRR898235,male,0.99308807
SRR830986,male,0.9448515
SRR897826,male,0.9995081
SRR1060761,male,0.91810817
SRR959627,male,0.6156758
ERR649024,female,0.9880991
SRR2926023,male,0.99622905
SRR897547,male,0.986586
SRR797158,female,0.9785787
SRR1785276,female,0.9964083
SRR898134,male,0.99949473
SRR650204,male,0.98589784
SRR898396,male,0.9959254
SRR2052814,female,0.993821
ERR752661,male,0.97679365
ERR532578,male,0.9998271
SRR1785284,female,0.99695617
SRR1648329,male,0.9975897
SRR1660810,male,0.99951476
SRR959441,female,0.9749587
SRR2052697,male,0.98511994
SRR1177715,male,0.94373643
SRR1747174,male,0.9968914
DRR006396,female,0.9981103
SRR1002082,female,0.99987555
SRR834577,male,0.56758296
SRR397223,male,0.997177
SRR1957191,male,0.97095025
ERR315382,female,0.9974573
SRR1385239,male,0.9999854
SRR1663224,female,0.9997233
SRR546239,male,0.9868213
SRR1201769,female,0.9374258
SRR542355,female,0.9438647
SRR2026311,female,0.96508133
ERR752624,male,0.96879923
SRR988503,female,0.9983039
SRR1265104,female,0.99938905
SRR1213834,male,0.9411262
ERR752688,male,0.9508227
SRR2087304,female,0.99885416
SRR942546,male,0.78994817
SRR2039201,male,0.9907583
SRR1754146,male,0.9999965
SRR1216035,male,0.99607575
SRR633605,female,0.9999981
SRR868813,female,0.99908274
SRR926700,male,0.9995445
ERR752725,female,0.9918396
SRR1617461,male,0.9988267
SRR542366,female,0.83030415
SRR1767249,female,0.99917555
SRR2049709,female,0.9999269
SRR988510,female,0.99954194
SRR898223,male,0.99280566
SRR1190462,male,0.9999814
ERR752560,female,0.9987257
ERR752581,male,0.98706114
SRR1201702,female,0.88802636
SRR959666,male,0.9113203
SRR1047838,male,0.99284744
SRR2037296,male,0.99943656
SRR1839791,female,0.99914265
SRR1146164,female,0.9999911
SRR1648326,male,0.9609046
ERR329505,male,0.9981656
SRR1617447,female,0.9943638
SRR1216045,male,0.9954769
SRR898448,male,0.9932934
SRR1608603,male,0.9953176
ERR752651,male,0.9483305
SRR1583602,male,0.9995079
SRR1027175,female,0.99991816
SRR1576185,male,0.9990101
SRR898410,male,0.9949835
ERR594513,male,0.9994222
SRR1617452,male,0.9886795
ERR832542,male,0.90475714
DRR006434,female,0.9635811
SRR1792710,female,0.9820219
SRR896932,male,0.992174
ERR752803,male,0.98734665
ERR519471,male,0.9663954
ERR649053,female,0.9975451
SRR066469,male,0.9976467
ERR668351,male,0.97916543
SRR1768827,male,0.99308145
ERR649070,male,0.973708
SRR915766,female,0.9987364
ERR030865,male,0.9190947
SRR448099,male,0.96717596
SRR1201772,female,0.97047585
SRR898322,male,0.99161637
SRR2049744,female,0.99995834
SRR897269,male,0.99791443
SRR1146244,male,0.99502194
SRR948093,male,0.9926795
SRR1754131,female,0.9512148
SRR897660,male,0.995484
SRR1663289,male,0.6813783
SRR896974,male,0.9944986
ERR329517,female,0.9955471
SRR1213816,male,0.9915903
SRR2052683,male,0.9933629
ERR752744,male,0.9703571
SRR2962010,female,0.9970726
SRR396950,female,0.9999859
SRR1146141,female,0.9999555
ERR752807,male,0.97284937
SRR786616,male,0.99228686
SRR1265536,male,0.9917801
SRR537125,female,0.9996621
SRR898015,male,0.98838407
SRR546236,male,0.9810303
SRR1019689,male,0.9855183
SRR1265617,male,0.99347675
SRR831032,male,0.5908515
ERR649063,female,0.99946487
ERR863722,female,0.99999934
ERR752517,female,0.99780226
SRR897439,male,0.9983193
SRR1608599,male,0.9989702
SRR1785292,female,0.9986229
SRR191641,female,0.9999946
SRR1146210,male,0.9990854
ERR532437,male,0.9993685
