run_accession,ADRENAL GLAND,BONE MARROW,BRAIN,BREAST,ESOPHAGUS,KIDNEY,LIVER,LUNG,OVARY,PANCREAS,PROSTATE,SKIN,STOMACH,TESTIS,THYROID,UTERUS,predicted,MetaSRA
SRR1744428,0.00033106227,0.0022964568,9.8585966e-05,0.011862606,0.83713686,0.0047234762,0.0019664266,2.9916173e-05,0.100412145,0.0010147906,0.013531624,0.0012790981,0.001191647,0.023414642,0.00019609358,0.0005144403,ESOPHAGUS,SKIN
SRR1744429,0.00040747254,0.002691423,0.00017532833,0.007146655,0.8304933,0.0031731788,0.0015785563,2.7326856e-05,0.10131554,0.0010058169,0.02599086,0.002624408,0.0008419144,0.021723986,0.00023393915,0.0005703454,ESOPHAGUS,SKIN
SRR1744424,9.945298e-06,0.0004411005,1.782814e-05,0.00022856196,0.3090235,0.00035288327,0.00011886702,1.4359377e-06,0.6861229,7.217065e-05,0.001691249,1.3992306e-05,4.493845e-05,0.0007070091,4.2092815e-06,0.0011493781,OVARY,SKIN
SRR837822,0.00017683272,6.1491432e-06,7.7221705e-07,0.000120388235,0.00054542255,0.0027562333,6.180889e-05,0.00015083862,0.00090181764,0.0016113976,0.31586498,1.7863542e-05,0.6763823,0.00014301311,4.5323497e-05,0.0012148871,STOMACH,LIVER
SRR837826,2.1665128e-05,1.6813425e-06,2.3741604e-05,3.243394e-05,3.3799894e-05,0.08158684,2.9993043e-06,2.3926717e-05,1.838266e-05,0.00065995025,0.9133695,2.4880088e-05,0.003115506,5.3442305e-05,0.0009238148,0.000107455075,PROSTATE,LIVER
SRR837829,0.0035329906,0.0002028697,0.00011386864,0.029867278,0.006475612,0.08229536,0.0009848013,6.188788e-05,0.0054843114,0.0045090523,0.8115064,0.00077829976,0.048488326,0.00092051394,0.00017768847,0.004600766,PROSTATE,LIVER
SRR837832,1.3243732e-08,9.450019e-10,1.4741852e-12,1.8920138e-05,6.578184e-08,0.9999509,1.7139171e-06,2.0602595e-08,7.9305496e-09,8.730496e-07,2.6491713e-05,5.7942867e-08,1.0188021e-06,1.7951132e-08,1.1587197e-09,8.138788e-09,KIDNEY,LIVER
SRR837838,0.0011414144,0.03298905,1.1874265e-06,0.012711268,0.008223684,0.027415428,0.00058292097,0.0022576095,0.0020740167,0.029090889,0.15009716,0.00010242604,0.7160734,0.0114937425,0.0014873361,0.00425849,STOMACH,LIVER
SRR837844,6.5981008e-06,2.7248775e-06,9.395278e-09,0.0016091081,0.00046735926,0.8187413,0.0018635736,3.754793e-05,0.00019891761,0.003555875,0.054969713,9.495331e-06,0.118134364,5.59055e-05,2.8243485e-06,0.0003447143,KIDNEY,LIVER
SRR837847,1.598972e-05,2.3066825e-07,8.314215e-08,0.0019115822,0.0005392799,0.39999115,0.02613976,1.6483404e-05,8.395996e-05,0.0019051732,0.22737025,1.858516e-05,0.340355,3.043349e-05,6.112127e-05,0.0015610028,KIDNEY,LIVER
SRR2046425,1.4870653e-08,1.807037e-07,7.114985e-13,2.2295018e-05,0.9885948,4.6575437e-06,7.698896e-07,0.0049559446,5.17848e-05,3.4310509e-07,0.005987013,1.2771842e-07,3.628605e-05,6.513767e-05,0.00013674975,0.00014391624,ESOPHAGUS,LUNG
SRR2046443,1.4058408e-05,1.4813476e-05,1.14560414e-07,0.00015276078,0.42713213,4.922657e-05,0.00034844823,0.00025160666,0.51823187,1.958589e-05,0.023964887,5.627784e-07,0.00019682555,0.028910317,5.597979e-05,0.00065688905,OVARY,LUNG
SRR2046431,7.57696e-09,6.4888667e-10,6.967813e-16,9.081814e-09,0.00012569375,0.00027312108,1.0736704e-05,3.002164e-08,6.302769e-07,2.4744536e-06,0.99071515,4.9218224e-10,0.00886281,7.1075434e-09,6.2483485e-09,9.377572e-06,PROSTATE,LUNG
SRR2046430,5.1041033e-12,7.0581397e-12,5.757489e-16,6.028489e-10,0.99992585,6.776752e-08,5.6820645e-11,4.5570994e-10,1.2634732e-07,9.393977e-11,7.383468e-05,9.617654e-10,1.08999025e-07,8.648169e-10,4.1631774e-09,1.2224268e-08,ESOPHAGUS,LUNG
SRR2046452,0.0003732525,1.4880027e-05,0.005379962,0.42558414,0.0009900295,0.06816697,2.5506217e-05,0.00029091386,0.26442513,0.00010867069,0.1812686,0.00023459108,0.00012432628,0.0005256453,0.004892012,0.04759541,BREAST,LUNG
SRR2046451,5.986633e-05,0.0004509414,3.7357677e-05,0.019666543,0.12610093,0.05428077,0.0004549541,0.00019954947,0.600461,0.006153903,0.0043964153,0.00047863406,0.0007036444,0.004229187,0.0004505111,0.18187582,OVARY,LUNG
SRR945210,0.0035408717,0.0016755197,0.7913037,0.0037174858,0.00014421907,0.004002498,2.8150564e-05,2.1285241e-05,8.5464744e-05,0.00010144786,0.15077457,0.037702944,3.9683968e-05,0.0002535569,0.005806514,0.00080213987,BRAIN,KIDNEY
SRR1648322,0.0026997596,0.105621226,0.0001781736,0.0007932746,0.019331988,0.004665503,0.015898943,0.04726591,0.05399234,0.0031487953,0.004254427,0.0003522966,0.0051345965,0.04190672,0.015088145,0.67966783,UTERUS,TESTIS
SRR1374342,8.064887e-09,5.790287e-07,6.694716e-13,0.0024283282,0.90636045,0.0060397205,1.5814546e-08,9.421902e-06,1.4305202e-05,2.4165852e-06,0.036144238,0.048883542,1.5829055e-05,1.1991589e-06,8.986186e-05,1.0122676e-05,ESOPHAGUS,SKIN
SRR070193,0.045500793,0.059860613,0.01277422,0.034435946,0.047818217,0.16714483,0.022209812,0.24240054,0.02567839,0.09327791,0.033416115,0.020957986,0.13715325,0.007194948,0.004505387,0.045671027,LUNG,KIDNEY
SRR886370,0.018424634,0.017277952,0.013442694,0.05250359,0.15479943,0.14115135,0.026836647,0.05790081,0.04349578,0.03867571,0.20527172,0.022506652,0.13337544,0.022020634,0.026502557,0.025814354,PROSTATE,KIDNEY
SRR886372,0.007264847,0.023070067,0.001574997,0.022717023,0.06611166,0.23307681,0.036879368,0.08518984,0.03992552,0.058996093,0.26521298,0.0026821436,0.1153298,0.013315781,0.010586739,0.01806621,PROSTATE,KIDNEY
SRR886374,0.011183068,0.0012927237,0.00011730539,0.0063566887,0.07321954,0.048258707,0.001089059,0.016946716,0.010626934,0.005220927,0.759216,0.003837817,0.025671927,0.0037993519,0.026583187,0.0065800296,PROSTATE,KIDNEY
